genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']",https://api.spotify.com/v1/artists/1IueXOQyABrMOprrzwQJWN,1IueXOQyABrMOprrzwQJWN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5a93776d71cdd540d0e6d3c0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745a93776d71cdd540d0e6d3c0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785a93776d71cdd540d0e6d3c0', 'width': 160}]",Sigala,79,artist,spotify:artist:1IueXOQyABrMOprrzwQJWN,https://open.spotify.com/artist/1IueXOQyABrMOprrzwQJWN,,1247636
['gnawa'],https://api.spotify.com/v1/artists/5nL4NhY55Mr65tdAHvK0WK,5nL4NhY55Mr65tdAHvK0WK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dc530c979cad1afe49e78ee5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02dc530c979cad1afe49e78ee5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851dc530c979cad1afe49e78ee5', 'width': 64}]",Simo Lagnawi,20,artist,spotify:artist:5nL4NhY55Mr65tdAHvK0WK,https://open.spotify.com/artist/5nL4NhY55Mr65tdAHvK0WK,,2141
[],https://api.spotify.com/v1/artists/0TBKvpawK7DyjrT0rmxlFb,0TBKvpawK7DyjrT0rmxlFb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273454f7adab7dfbd86cf0e0442', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02454f7adab7dfbd86cf0e0442', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851454f7adab7dfbd86cf0e0442', 'width': 64}]",Simon Cheney,0,artist,spotify:artist:0TBKvpawK7DyjrT0rmxlFb,https://open.spotify.com/artist/0TBKvpawK7DyjrT0rmxlFb,,20
"['azontobeats', 'francoton', 'french pop', 'pop urbaine']",https://api.spotify.com/v1/artists/7uN1aqKCrD6Ju1sn74MPgf,7uN1aqKCrD6Ju1sn74MPgf,"[{'height': 274, 'url': 'https://i.scdn.co/image/1d4dfa768ac02e987f6c62f64ab784b97a0be012', 'width': 416}, {'height': 132, 'url': 'https://i.scdn.co/image/442f8b202b158361cf81f1f6163c600b71e5c2a5', 'width': 200}, {'height': 42, 'url': 'https://i.scdn.co/image/f9deeea92342ae924e1376432b8274c08311aefd', 'width': 64}]",Singuila,53,artist,spotify:artist:7uN1aqKCrD6Ju1sn74MPgf,https://open.spotify.com/artist/7uN1aqKCrD6Ju1sn74MPgf,,111385
"['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap inde']",https://api.spotify.com/v1/artists/1ONnyhQBTnkvg4QmI97hJg,1ONnyhQBTnkvg4QmI97hJg,"[{'height': 640, 'url': 'https://i.scdn.co/image/d611f94a00340d719646e6c966c4a77ac7b973dd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e336bd87b7d1024bf5ff048881f728b4252bff78', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/aa565b8f3826b1132bfcd5a9bef630e75fc41e9a', 'width': 160}]",Sinik,54,artist,spotify:artist:1ONnyhQBTnkvg4QmI97hJg,https://open.spotify.com/artist/1ONnyhQBTnkvg4QmI97hJg,,178900
"['miami hip hop', 'rap', 'underground hip hop']",https://api.spotify.com/v1/artists/2rhFzFmezpnW82MNqEKVry,2rhFzFmezpnW82MNqEKVry,"[{'height': 640, 'url': 'https://i.scdn.co/image/9646d5c6456f8d0ceef51791383ae0ccb9cc1675', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7a7a6326bd4386bb97ec78e9c01bef156b233814', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/7a4d2db0c869436b6134e1a897655345a86761a0', 'width': 160}]",Ski Mask The Slump God,82,artist,spotify:artist:2rhFzFmezpnW82MNqEKVry,https://open.spotify.com/artist/2rhFzFmezpnW82MNqEKVry,,4028263
"['francoton', 'french pop']",https://api.spotify.com/v1/artists/4OV6uYSnHxSYkjDYuBVBUz,4OV6uYSnHxSYkjDYuBVBUz,"[{'height': 640, 'url': 'https://i.scdn.co/image/29868ef1a9e64ad9c3bf664fd4e47fb2d88842d3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/baf107d1a3c0daca6713565a9adb21c50b1047e8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a6fd9c6ec6033df56c5caba8a46ebfd18dcffb9d', 'width': 160}]",Slimane,68,artist,spotify:artist:4OV6uYSnHxSYkjDYuBVBUz,https://open.spotify.com/artist/4OV6uYSnHxSYkjDYuBVBUz,,750323
"['algerian folk', 'kabyle']",https://api.spotify.com/v1/artists/5v4Z0GBPSy5EtyKD5nTYph,5v4Z0GBPSy5EtyKD5nTYph,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737c485b8ef4002c0d073f0e15', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027c485b8ef4002c0d073f0e15', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517c485b8ef4002c0d073f0e15', 'width': 64}]",Slimane Azem,30,artist,spotify:artist:5v4Z0GBPSy5EtyKD5nTYph,https://open.spotify.com/artist/5v4Z0GBPSy5EtyKD5nTYph,,11634
['modern jazz trio'],https://api.spotify.com/v1/artists/5kH36nIamlV0iSe6ESDWvb,5kH36nIamlV0iSe6ESDWvb,"[{'height': 640, 'url': 'https://i.scdn.co/image/5d7ebecbeaaa6d03ad682769d5b74fbc3bb4c63e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7eb53285ec5373db30b8f9b16460bf292de831ab', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b9d7ee965728019ca6dc21803c75a90558b2f677', 'width': 160}]",Slowly Rolling Camera,27,artist,spotify:artist:5kH36nIamlV0iSe6ESDWvb,https://open.spotify.com/artist/5kH36nIamlV0iSe6ESDWvb,,8306
"['french hip hop', 'pop urbaine', 'rap calme', 'rap francais']",https://api.spotify.com/v1/artists/6FyY3mlFrDdKUX35GrzeOZ,6FyY3mlFrDdKUX35GrzeOZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/9f1591b9db7114a8e7d515db200ca461114ff74d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/723e0fd4fe3ad5366c82a283e1bc8ff040de91e2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/0ade7ba93e0fa4b48a62934b6f4905d4afea2088', 'width': 160}]",Smeels,50,artist,spotify:artist:6FyY3mlFrDdKUX35GrzeOZ,https://open.spotify.com/artist/6FyY3mlFrDdKUX35GrzeOZ,,13955
"['melodic rap', 'meme rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']",https://api.spotify.com/v1/artists/21dooacK2WGBB5amYvKyfM,21dooacK2WGBB5amYvKyfM,"[{'height': 640, 'url': 'https://i.scdn.co/image/cdfe715447fcd4bea690ce7d5fe0807d902224ab', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/371181dd317ab20174aacbc2308e1cc6fcf94c72', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/2033102d8c5ddd405bee130f7fc93bf6462e86ed', 'width': 160}]",Smokepurpp,71,artist,spotify:artist:21dooacK2WGBB5amYvKyfM,https://open.spotify.com/artist/21dooacK2WGBB5amYvKyfM,,2192381
